0,1,4,5,
0,2,8,45,
1,4,6,34,
2,3,2,3,
3,4,10,7,
1,2,5,12,
0,3,7,21,
4,2,9,48,
2,1,3,22,
3,0,6,1,
0,1,4,5,
0,2,8,45,
1,4,6,34,
2,3,2,3,
3,4,10,7,
1,2,5,12,
0,3,7,21,
4,2,9,48,
2,1,3,22,
3,0,6,1,
0,1,4,5,
0,2,8,45,
1,4,6,34,
2,3,2,3,
3,4,10,7,
1,2,5,12,
0,3,7,21,
4,2,9,48,
2,1,3,22,
3,0,6,1,
0,1,4,5,
0,2,8,45,
1,4,6,34,
2,3,2,3,
3,4,10,7,
1,2,5,12,
0,3,7,21,
4,2,9,48,
2,1,3,22,
3,0,6,1,
0,1,4,5,
0,2,8,45,
1,4,6,34,
2,3,2,3,
3,4,10,7,
1,2,5,12,
0,3,7,21,
4,2,9,48,
2,1,3,22,
3,0,6,1,
0,1,4,5,
0,2,8,45,
1,4,6,34,
2,3,2,3,
3,4,10,7,
1,2,5,12,
0,3,7,21,
4,2,9,48,
2,1,3,22,
3,0,6,1,
0,1,4,5,
0,2,8,45,
1,4,6,34,
2,3,2,3,
3,4,10,7,
1,2,5,12,
0,3,7,21,
4,2,9,48,
2,1,3,22,
3,0,6,1,
0,1,4,5,
0,2,8,45,
1,4,6,34,
2,3,2,3,
3,4,10,7,
1,2,5,12,
0,3,7,21,
4,2,9,48,
2,1,3,22,
3,0,6,1,
0,1,4,5,
0,2,8,45,
1,4,6,34,
2,3,2,3,
3,4,10,7,
1,2,5,12,
0,3,7,21,
4,2,9,48,
2,1,3,22,
3,0,6,1,
0,1,4,5,
0,2,8,45,
1,4,6,34,
2,3,2,3,
3,4,10,7,
1,2,5,12,
0,3,7,21,
4,2,9,48,
2,1,3,22,
3,0,6,1,
0,1,4,5,
0,2,8,45,
1,4,6,34,
2,3,2,3,
3,4,10,7,
1,2,5,12,
0,3,7,21,
4,2,9,48,
2,1,3,22,
3,0,6,1,
0,1,4,5,
0,2,8,45,
1,4,6,34,
2,3,2,3,
3,4,10,7,
1,2,5,12,
0,3,7,21,
4,2,9,48,
2,1,3,22,
3,0,6,1,
0,1,4,5,
0,2,8,45,
1,4,6,34,
2,3,2,3,
3,4,10,7,
1,2,5,12,
0,3,7,21,
4,2,9,48,
2,1,3,22,
3,0,6,1,
0,1,4,5,
0,2,8,45,
1,4,6,34,
2,3,2,3,
3,4,10,7,
1,2,5,12,
0,3,7,21,
4,2,9,48,
2,1,3,22,
3,0,6,1,
0,1,4,5,
0,2,8,45,
1,4,6,34,
2,3,2,3,
3,4,10,7,
1,2,5,12,
0,3,7,21,
4,2,9,48,
2,1,3,22,
3,0,6,1,
0,1,4,5,
0,2,8,45,
1,4,6,34,
2,3,2,3,
3,4,10,7,
1,2,5,12,
0,3,7,21,
4,2,9,48,
2,1,3,22,
3,0,6,1,
0,1,4,5,
0,2,8,45,
1,4,6,34,
2,3,2,3,
3,4,10,7,
1,2,5,12,
0,3,7,21,
4,2,9,48,
2,1,3,22,
3,0,6,1,
0,1,4,5,
0,2,8,45,
1,4,6,34,
2,3,2,3,
3,4,10,7,
1,2,5,12,
0,3,7,21,
4,2,9,48,
2,1,3,22,
3,0,6,1,
0,1,4,5,
0,2,8,45,
1,4,6,34,
2,3,2,3,
3,4,10,7,
1,2,5,12,
0,3,7,21,
4,2,9,48,
2,1,3,22,
3,0,6,1,
0,1,4,5,
0,2,8,45,
1,4,6,34,
2,3,2,3,
3,4,10,7,
1,2,5,12,
0,3,7,21,
4,2,9,48,
2,1,3,22,
3,0,6,1,
0,1,4,5,
0,2,8,45,
1,4,6,34,
2,3,2,3,
3,4,10,7,
1,2,5,12,
0,3,7,21,
4,2,9,48,
2,1,3,22,
3,0,6,1,
0,1,4,5,
0,2,8,45,
1,4,6,34,
2,3,2,3,
3,4,10,7,
1,2,5,12,
0,3,7,21,
4,2,9,48,
2,1,3,22,
3,0,6,1,
0,1,4,5,
0,2,8,45,
1,4,6,34,
2,3,2,3,
3,4,10,7,
1,2,5,12,
0,3,7,21,
4,2,9,48,
2,1,3,22,
3,0,6,1,
0,1,4,5,
0,2,8,45,
1,4,6,34,
2,3,2,3,
3,4,10,7,
1,2,5,12,
0,3,7,21,
4,2,9,48,
2,1,3,22,
3,0,6,1,
0,1,4,5,
0,2,8,45,
1,4,6,34,
2,3,2,3,
3,4,10,7,
1,2,5,12,
0,3,7,21,
4,2,9,48,
2,1,3,22,
3,0,6,1,
0,1,4,5,
0,2,8,45,
1,4,6,34,
2,3,2,3,
3,4,10,7,
1,2,5,12,
0,3,7,21,
4,2,9,48,
2,1,3,22,
3,0,6,1,
0,1,4,5,
0,2,8,45,
1,4,6,34,
2,3,2,3,
3,4,10,7,
1,2,5,12,
0,3,7,21,
4,2,9,48,
2,1,3,22,
3,0,6,1,
0,1,4,5,
0,2,8,45,
1,4,6,34,
2,3,2,3,
3,4,10,7,
1,2,5,12,
0,3,7,21,
4,2,9,48,
2,1,3,22,
3,0,6,1,
0,1,4,5,
0,2,8,45,
1,4,6,34,
2,3,2,3,
3,4,10,7,
1,2,5,12,
0,3,7,21,
4,2,9,48,
2,1,3,22,
3,0,6,1,
0,1,4,5,
0,2,8,45,
1,4,6,34,
2,3,2,3,
3,4,10,7,
1,2,5,12,
0,3,7,21,
4,2,9,48,
2,1,3,22,
3,0,6,1,
0,1,4,5,
0,2,8,45,
1,4,6,34,
2,3,2,3,
3,4,10,7,
1,2,5,12,
0,3,7,21,
4,2,9,48,
2,1,3,22,
3,0,6,1,
0,1,4,5,
0,2,8,45,
1,4,6,34,
2,3,2,3,
3,4,10,7,
1,2,5,12,
0,3,7,21,
4,2,9,48,
2,1,3,22,
3,0,6,1,
0,1,4,5,
0,2,8,45,
1,4,6,34,
2,3,2,3,
3,4,10,7,
1,2,5,12,
0,3,7,21,
4,2,9,48,
2,1,3,22,
3,0,6,1,
0,1,4,5,
0,2,8,45,
1,4,6,34,
2,3,2,3,
3,4,10,7,
1,2,5,12,
0,3,7,21,
4,2,9,48,
2,1,3,22,
3,0,6,1,
0,1,4,5,
0,2,8,45,
1,4,6,34,
2,3,2,3,
3,4,10,7,
1,2,5,12,
0,3,7,21,
4,2,9,48,
2,1,3,22,
3,0,6,1,
0,1,4,5,
0,2,8,45,
1,4,6,34,
2,3,2,3,
3,4,10,7,
1,2,5,12,
0,3,7,21,
4,2,9,48,
2,1,3,22,
3,0,6,1,
0,1,4,5,
0,2,8,45,
1,4,6,34,
2,3,2,3,
3,4,10,7,
1,2,5,12,
0,3,7,21,
4,2,9,48,
2,1,3,22,
3,0,6,1,
0,1,4,5,
0,2,8,45,
1,4,6,34,
2,3,2,3,
3,4,10,7,
1,2,5,12,
0,3,7,21,
4,2,9,48,
2,1,3,22,
3,0,6,1,
0,1,4,5,
0,2,8,45,
1,4,6,34,
2,3,2,3,
3,4,10,7,
1,2,5,12,
0,3,7,21,
4,2,9,48,
2,1,3,22,
3,0,6,1,
0,1,4,5,
0,2,8,45,
1,4,6,34,
2,3,2,3,
3,4,10,7,
1,2,5,12,
0,3,7,21,
