0,1,4,5,
0,2,8,45,
1,4,6,34,
2,3,2,3,
3,4,10,7,
1,2,5,12,
0,3,7,21,
4,2,9,48,
2,1,3,22,
3,0,6,1,
5,6,2,7,
6,4,7,9,
5,3,8,14,
0,5,10,30,
6,2,4,16,
7,5,3,8,
4,3,6,5,
5,7,9,21,
2,6,8,6,
8,0,7,8,
0,4,5,10,
2,5,6,15,
1,6,4,11,
3,7,9,16,
5,8,7,12,
6,0,3,9,
7,2,10,13,
8,3,4,5,
1,7,6,20,
3,6,8,18,
4,5,3,7,
5,2,9,6,
7,6,5,4,
8,4,2,9,
9,0,8,17,
1,8,5,23,
2,4,7,6,
3,5,4,10,
0,7,10,19,
5,9,3,13,
6,8,6,8,
4,7,2,14,
9,2,8,16,
8,5,7,11,
2,9,6,22,
7,8,4,18,
3,9,9,12,
1,9,4,14,
9,7,10,15,
9,6,7,10,
6,9,8,5,
4,9,3,20,
8,9,5,9,
7,4,2,11,
9,1,6,7,
3,8,4,6,
4,6,7,8,~
0,1,4,5,
0,2,8,45,
1,4,6,34,
2,3,2,3,
3,4,10,7,
1,2,5,12,
0,3,7,21,
4,2,9,48,
2,1,3,22,
3,0,6,1,
5,6,2,7,
6,4,7,9,
5,3,8,14,
0,5,10,30,
6,2,4,16,
7,5,3,8,
4,3,6,5,
5,7,9,21,
2,6,8,6,
8,0,7,8,
0,4,5,10,
2,5,6,15,
1,6,4,11,
3,7,9,16,
5,8,7,12,
6,0,3,9,
7,2,10,13,
8,3,4,5,
1,7,6,20,
3,6,8,18,
4,5,3,7,
5,2,9,6,
7,6,5,4,
8,4,2,9,
9,0,8,17,
1,8,5,23,
2,4,7,6,
3,5,4,10,
0,7,10,19,
5,9,3,13,
6,8,6,8,
4,7,2,14,
9,2,8,16,
8,5,7,11,
2,9,6,22,
7,8,4,18,
3,9,9,12,
1,9,4,14,
9,7,10,15,
9,6,7,10,
6,9,8,5,
4,9,3,20,
8,9,5,9,
7,4,2,11,
9,1,6,7,
3,8,4,6,
4,6,7,8,~
